名称,,品相,,价格
,,,,
大头三、九、十年,,普品,,1100元
大头八年,,普品,,2500元
小头,,普品,,750元
23年帆船,,普品,,1100元
22年帆船,,普品,,2000元
鹰洋,,普品,,300元
四川军政府(汉版),,普品,,1500元
大头中圆,,普品,,5000元
坐洋壹元,,普品,,280元
站洋壹元,,普品,,1100元
34年北洋龙,,普品,,2000-5000元
33年北洋龙,,普品,,2200-6000元
29年北洋龙,,普品,,2100-5500元
26年北洋龙,,普品,,3500-8000元
25年北洋龙,,普品,,3000-7000元
24年北洋,,普品,,3500-8000元
23年北洋,,普品,,5000-13000元
帆船三鸟,,普品,,50000元
造币总厂,,普品,,5000元
大清银币,,普品,,4000元
云南光绪、宣统,,普品,,2500/3000元
湖北光绪、宣统,,普品,,2000/2000元
广东光绪、宣统,,普品,,2000/2000元
云南光绪、宣统,,普品,,2500/3000元
四川光绪、宣统,,普品,,2000/2300元
唐军长正像,,普品,,2000元
四川卢比,,普品,,550元
日本龙洋,,普品,,400元
江南甲辰,,普品,,1800-4000元
江南壬寅,,普品,,2000-5000元
江南辛丑,,普品,,1900-4000元
江南庚子,,普品,,2100-5500元
江南戊戌,,普品,,4000-10000元
江南已亥,,普品,,4000-10000元
江南癸卯,,普品,,4000-10000元
江南乙巳,,普品,,4000-10000元
